Group,Indicator,Timeframe,Bottom 5%,Current Percentile,Current Value,Median (50%),Q1 (25%),Q3 (75%),Top 5%
BB,BB_high,1D,387.35440377451175,90.154711673699,604.1620393769365,470.5066629872123,408.681569618083,566.9264443406202,610.2067285527941
BB,BB_high,1H,539.5772034311108,89.02743142144638,593.5134586310337,569.8433264593493,554.2160509639342,581.3454864457985,596.0234271970708
BB,BB_high,1M,132.572552214638,100.0,639.4756380413105,266.00293800004204,182.6920174083536,453.4288587705746,586.4300181149524
BB,BB_high,1W,310.7834548334852,98.29351535836176,628.9271231567559,433.4681070568441,378.62261501166665,472.8048472111835,613.6959914274383
BB,BB_low,1D,351.2841926622607,84.10689170182842,547.1319669707198,438.9925557627877,385.4743185216713,520.2088175203826,579.7647652058661
BB,BB_low,1H,487.5392559768462,85.785536159601,575.5550472283412,552.0551148058281,530.7266591957741,559.4025876180996,585.4140150734685
BB,BB_low,1M,93.78232403658272,100.0,428.7208676959942,212.3525292348318,156.7109310322897,302.1918529731755,358.6124905825572
BB,BB_low,1W,224.4850735689217,89.419795221843,517.5149575317207,373.08493172843305,328.2444778360015,410.1720996802596,533.7810291448271
BB,BB_mid,1D,371.6719497680664,87.34177215189874,575.6470031738281,454.749609375,398.4610168457032,545.8572082519531,595.1416732788086
BB,BB_mid,1H,516.385514831543,88.02992518703242,584.5342529296875,561.7504058837891,543.5476867675782,571.6135284423829,590.174072265625
BB,BB_mid,1M,113.17743812561037,100.0,534.0982528686524,238.68529014587403,169.74297618865967,388.7977149963379,472.5212543487548
BB,BB_mid,1W,273.8810333251953,93.51535836177474,573.2210403442383,401.7005355834961,352.7509490966797,437.1230484008789,577.8866094970703
BB,BB_width,1D,0.0314189131144703,83.96624472573839,0.0990712573708915,0.0605775478060824,0.0450393797578647,0.0806416755758835,0.1295035832298917
BB,BB_width,1H,0.0147053066254759,46.13466334164589,0.0307225989113296,0.0322953394524304,0.0207845809263716,0.0510258093420239,0.1143048009299818
BB,BB_width,1M,0.1492578981017564,75.0,0.394599250631037,0.3053117661575916,0.2617301667908648,0.3961690548884528,0.5323647284508009
BB,BB_width,1W,0.0898955092654048,77.47440273037543,0.1943616123339235,0.1490172203249016,0.1135107666368151,0.1903026677771358,0.3530201900051961
MA,EMA_100,1D,374.9207901175182,86.37083993660856,569.0810512242444,460.25611039707866,406.3208915034271,541.7737058145995,581.880649827302
MA,EMA_100,1H,532.3301063133409,100.0,580.4524930903892,553.8325679913229,537.9570343838641,568.3556862892818,578.7581415426868
MA,EMA_100,1M,192.043466069735,100.0,384.07957600325153,274.37031011745535,218.2795607664426,313.18656265742936,370.2636265228082
MA,EMA_100,1W,334.174376370898,100.0,524.6878761651063,385.3959134892786,381.0783966787824,439.9794855197016,516.7619854796321
MA,EMA_20,1D,371.5978609388821,88.0450070323488,575.9959831336818,455.5084028695113,397.11881549437066,545.7295627713816,594.6240096247907
MA,EMA_20,1H,519.1012767199478,91.2718204488778,586.5441183509089,561.6425872142901,541.7475039911973,570.9575023772085,589.6963309748227
MA,EMA_20,1M,115.93222056474455,100.0,536.3430540000841,235.7261097133287,166.64886734095853,382.8424631422926,486.96166307133785
MA,EMA_20,1W,274.806322387066,94.19795221843005,570.2841524806402,400.3944579650132,351.7209077458561,441.8072446154204,573.3724802102695
MA,EMA_200,1D,385.9230156405527,93.22033898305084,562.6742865195425,466.5630143783773,413.65853814163455,531.6627222792723,564.4599491842941
MA,EMA_200,1H,542.6772466347672,100.0,571.0160140980936,549.7612827870391,545.1132761174476,558.4687221153929,569.22501634636
MA,EMA_200,1W,362.42149863979495,100.0,471.8484248744304,400.83718726675136,375.5424156874258,437.6119409510794,465.834020398563
MA,EMA_50,1D,372.7717783755687,85.16886930983847,567.6949688779907,454.1247724200691,395.77011160011847,545.3831882125487,588.5911638783731
MA,EMA_50,1H,525.8264342876811,95.14824797843666,585.7867885893938,562.1272892520495,536.7096284221045,567.9820286412569,585.7860228417792
MA,EMA_50,1M,146.61388620557975,100.0,463.7346782056904,237.42515520278545,179.3623336438236,341.2664529377411,432.0480622605663
MA,EMA_50,1W,283.51089711067124,100.0,558.6205000358224,399.6098136113412,373.72419817303296,441.1583493494983,554.1748356720367
MA,SMA_100,1D,375.5858479309082,84.62757527733757,573.9901062011719,451.9730453491211,402.38229888916015,543.3033630371094,588.3184014892579
MA,SMA_100,1H,526.3689804077148,100.0,582.0419860839844,554.160647277832,538.5582376098632,564.7262341308593,578.7623309326171
MA,SMA_100,1M,177.84726852798462,100.0,360.804944152832,254.00286285400392,205.3417329597473,295.6237939453125,347.3684580383301
MA,SMA_100,1W,320.1340615234375,100.0,518.5058074951172,401.8377957153321,382.2774453735352,423.5404760742188,503.2878811645508
MA,SMA_20,1D,371.6719497680664,87.34177215189874,575.6470031738281,454.749609375,398.4610168457032,545.8572082519531,595.1416732788086
MA,SMA_20,1H,516.385514831543,88.02992518703242,584.5342529296875,561.7504058837891,543.5476867675782,571.6135284423829,590.174072265625
MA,SMA_20,1M,113.17743812561037,100.0,534.0982528686524,238.68529014587403,169.74297618865967,388.7977149963379,472.5212543487548
MA,SMA_20,1W,273.8810333251953,93.51535836177474,573.2210403442383,401.7005355834961,352.7509490966797,437.1230484008789,577.8866094970703
MA,SMA_200,1D,383.95309127807616,100.0,573.6168777465821,460.8649105834961,411.888191986084,532.0861054992677,570.472540435791
MA,SMA_200,1H,541.21359664917,100.0,563.1936839294434,544.8878791809082,542.2504103088379,552.1294622802734,560.5928337097168
MA,SMA_200,1W,357.44129064941404,100.0,460.4629391479492,402.1234852600098,374.32205154418943,433.5903965759277,455.87242495727537
MA,SMA_50,1D,371.84118713378905,80.46989720998532,557.2037915039062,452.7131329345703,393.63455078125,545.1901794433594,592.7337927246094
MA,SMA_50,1H,522.6053765869141,94.60916442048516,588.4800708007813,561.1915466308594,535.4233474731445,567.5095758056641,588.5802374267578
